,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
0,prerank,ko02040,0.7352946859240536,2.6160598520664857,0.0,0.0,0.0,21/42,6.79%,ko:K02408;ko:K02400;ko:K02409;ko:K02415;ko:K02410;ko:K02416;ko:K02417;ko:K02419;ko:K02420;ko:K02391;ko:K10943;ko:K02392;ko:K02411;ko:K02412;ko:K02394;ko:K02393;ko:K02421;ko:K02405;ko:K02387;ko:K02418;ko:K02413,ko02040,Flagellar assembly,2_vs_0,Pseudomonas2
1,prerank,ko00040,0.8305584547901508,2.1265069096137506,0.0,0.0006536897152818129,0.001,6/12,7.02%,ko:K13877;ko:K14274;ko:K22185;ko:K01805;ko:K00008;ko:K00854,ko00040,Pentose and glucuronate interconversions,2_vs_0,Pseudomonas2
2,prerank,ko00280,0.6630671259844101,2.0479602408901685,0.0,0.00305055200464846,0.007,14/24,17.98%,ko:K09699;ko:K00167;ko:K00382;ko:K00166;ko:K00249;ko:K01782;ko:K00626;ko:K00020;ko:K00140;ko:K13766;ko:K01969;ko:K01692;ko:K00263;ko:K01907,ko00280,"Valine, leucine and isoleucine degradation",2_vs_0,Pseudomonas2
3,prerank,ko04714,0.891213389121339,1.9479276218719421,0.0,0.009478500871586288,0.028,7/7,11.05%,ko:K02258;ko:K02259;ko:K00412;ko:K02257;ko:K01897;ko:K00411;ko:K00413,ko04714,Thermogenesis,2_vs_0,Pseudomonas2
4,prerank,ko02020,0.45868717114166907,1.9457745738021424,0.0,0.007844276583381753,0.029,35/118,13.08%,ko:K02651;ko:K07346;ko:K02283;ko:K10942;ko:K01915;ko:K02280;ko:K07347;ko:K03406;ko:K10943;ko:K00426;ko:K00626;ko:K00407;ko:K00406;ko:K20977;ko:K02259;ko:K00412;ko:K02282;ko:K00405;ko:K02405;ko:K07794;ko:K00425;ko:K20978;ko:K07679;ko:K12511;ko:K12510;ko:K00404;ko:K00411;ko:K11688;ko:K07782;ko:K01545;ko:K00413;ko:K20976;ko:K07662;ko:K02279;ko:K13489,ko02020,Two-component system,2_vs_0,Pseudomonas2
5,prerank,ko02025,0.5276094926163613,1.9007937094731353,0.0,0.011766414875072633,0.052,25/48,26.17%,ko:K21000;ko:K20998;ko:K20987;ko:K21001;ko:K21003;ko:K20977;ko:K21002;ko:K02405;ko:K20978;ko:K20999;ko:K21004;ko:K20976;ko:K13489;ko:K11891;ko:K11915;ko:K13488;ko:K18101;ko:K11903;ko:K11893;ko:K11895;ko:K11900;ko:K18100;ko:K11901;ko:K07678;ko:K21023,ko02025,Biofilm formation - Pseudomonas aeruginosa,2_vs_0,Pseudomonas2
6,prerank,ko00543,0.7003944777924369,1.8499338810426227,0.0,0.01923715447829335,0.097,6/14,6.63%,ko:K03818;ko:K21001;ko:K21002;ko:K00640;ko:K20999;ko:K11936,ko00543,Exopolysaccharide biosynthesis,2_vs_0,Pseudomonas2
7,prerank,ko05111,0.5907214748777198,1.8047075896614297,0.0,0.02827208018593841,0.157,16/25,24.92%,ko:K10942;ko:K10943;ko:K02463;ko:K02405;ko:K00640;ko:K02454;ko:K03087;ko:K02462;ko:K02461;ko:K02459;ko:K02458;ko:K02457;ko:K03557;ko:K02453;ko:K02456;ko:K07678,ko05111,Biofilm formation - Vibrio cholerae,2_vs_0,Pseudomonas2
8,prerank,ko05415,0.8213962920315742,1.7823652767369995,0.002053388090349076,0.03166763509587449,0.189,5/7,11.05%,ko:K00412;ko:K00134;ko:K00411;ko:K00820;ko:K00413,ko05415,Diabetic cardiomyopathy,2_vs_0,Pseudomonas2
9,prerank,ko00071,0.6536005605070478,1.758906778978744,0.007462686567164179,0.037129575828006973,0.239,7/14,7.88%,ko:K00249;ko:K01782;ko:K00626;ko:K00496;ko:K06445;ko:K00252;ko:K01897,ko00071,Fatty acid degradation,2_vs_0,Pseudomonas2
10,prerank,ko00470,0.5983658191781481,1.7323105824408598,0.006276150627615063,0.045401722043209546,0.298,8/17,11.39%,ko:K13877;ko:K21062;ko:K21060;ko:K01775;ko:K12658;ko:K01779;ko:K00285;ko:K01753,ko00470,D-Amino acid metabolism,2_vs_0,Pseudomonas2
